,model,rank,alpha,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50,lambda
0,IFVAE,50,1,,,"[0.1824, 0.0037]","[0.0954, 0.0029]","[0.0905, 0.0025]","[0.0871, 0.0022]","[0.1005, 0.0038]","[0.0739, 0.0015]","[0.0921, 0.0028]","[0.0874, 0.0034]","[0.1209, 0.0041]","[0.1513, 0.0046]","[0.0478, 0.0025]","[0.2912, 0.006]",1e-05
1,IFVAE,50,1,,,"[0.1835, 0.0038]","[0.0958, 0.003]","[0.0914, 0.0025]","[0.0873, 0.0022]","[0.1007, 0.0038]","[0.0741, 0.0015]","[0.0942, 0.0028]","[0.0874, 0.0034]","[0.1206, 0.0041]","[0.1504, 0.0045]","[0.0489, 0.0025]","[0.2906, 0.006]",0.0001
2,IFVAE,50,1,,,"[0.1818, 0.0038]","[0.0947, 0.0029]","[0.0907, 0.0025]","[0.0878, 0.0022]","[0.0995, 0.0038]","[0.0741, 0.0015]","[0.0929, 0.0027]","[0.0869, 0.0034]","[0.1201, 0.004]","[0.1504, 0.0045]","[0.0482, 0.0025]","[0.2894, 0.006]",0.001
3,IFVAE,50,1,,,"[0.1783, 0.0037]","[0.0942, 0.003]","[0.0901, 0.0025]","[0.087, 0.0023]","[0.0991, 0.0039]","[0.074, 0.0016]","[0.0927, 0.0028]","[0.0834, 0.0033]","[0.1158, 0.0039]","[0.1449, 0.0044]","[0.0465, 0.0024]","[0.2808, 0.0058]",0.01
4,IFVAE,50,1,,,"[0.1645, 0.0037]","[0.0927, 0.0032]","[0.0889, 0.0027]","[0.0853, 0.0024]","[0.0992, 0.0041]","[0.0717, 0.0017]","[0.0871, 0.0027]","[0.0723, 0.0031]","[0.1007, 0.0036]","[0.1277, 0.0041]","[0.0408, 0.0023]","[0.2508, 0.0055]",0.1
5,IFVAE,100,1,,,"[0.179, 0.0037]","[0.0919, 0.0028]","[0.0895, 0.0024]","[0.0862, 0.0021]","[0.0962, 0.0037]","[0.0732, 0.0015]","[0.0918, 0.0027]","[0.0848, 0.0034]","[0.1193, 0.004]","[0.1489, 0.0045]","[0.0469, 0.0025]","[0.287, 0.0059]",1e-05
6,IFVAE,100,1,,,"[0.1797, 0.0037]","[0.0915, 0.0028]","[0.0882, 0.0024]","[0.084, 0.0021]","[0.0963, 0.0038]","[0.0722, 0.0015]","[0.0918, 0.0027]","[0.0866, 0.0034]","[0.1212, 0.0041]","[0.1495, 0.0045]","[0.0488, 0.0026]","[0.2878, 0.006]",0.0001
7,IFVAE,100,1,,,"[0.1783, 0.0036]","[0.0933, 0.0028]","[0.0892, 0.0024]","[0.0849, 0.0021]","[0.0972, 0.0038]","[0.0727, 0.0015]","[0.0914, 0.0027]","[0.0863, 0.0034]","[0.1192, 0.004]","[0.1473, 0.0044]","[0.0469, 0.0024]","[0.2857, 0.0059]",0.001
8,IFVAE,100,1,,,"[0.1764, 0.0037]","[0.0919, 0.0029]","[0.088, 0.0024]","[0.0843, 0.0022]","[0.0962, 0.0038]","[0.0727, 0.0015]","[0.0926, 0.0028]","[0.0829, 0.0033]","[0.1147, 0.0039]","[0.1424, 0.0044]","[0.0462, 0.0024]","[0.2782, 0.0058]",0.01
9,IFVAE,100,1,,,"[0.1635, 0.0037]","[0.0937, 0.0032]","[0.09, 0.0028]","[0.0866, 0.0025]","[0.1006, 0.0042]","[0.0726, 0.0018]","[0.0882, 0.0028]","[0.0719, 0.003]","[0.1003, 0.0036]","[0.1276, 0.0041]","[0.0408, 0.0023]","[0.2474, 0.0054]",0.1
10,IFVAE,200,1,,,"[0.1668, 0.0034]","[0.089, 0.0028]","[0.0837, 0.0023]","[0.0805, 0.002]","[0.0916, 0.0037]","[0.0692, 0.0014]","[0.0832, 0.0025]","[0.0782, 0.0031]","[0.1084, 0.0037]","[0.1359, 0.0041]","[0.0414, 0.0022]","[0.2697, 0.0057]",1e-05
11,IFVAE,200,1,,,"[0.1697, 0.0035]","[0.0884, 0.0028]","[0.0849, 0.0024]","[0.0824, 0.0021]","[0.0962, 0.0038]","[0.0697, 0.0014]","[0.0862, 0.0026]","[0.0772, 0.0031]","[0.1092, 0.0038]","[0.1385, 0.0042]","[0.0437, 0.0023]","[0.2704, 0.0057]",0.0001
12,IFVAE,200,1,,,"[0.1703, 0.0035]","[0.0888, 0.0028]","[0.0853, 0.0023]","[0.082, 0.002]","[0.0946, 0.0037]","[0.0696, 0.0014]","[0.0864, 0.0026]","[0.0798, 0.0032]","[0.1107, 0.0038]","[0.1396, 0.0043]","[0.0453, 0.0024]","[0.2724, 0.0057]",0.001
13,IFVAE,200,1,,,"[0.1693, 0.0035]","[0.0906, 0.0029]","[0.0866, 0.0025]","[0.0836, 0.0022]","[0.0955, 0.0038]","[0.0718, 0.0016]","[0.088, 0.0026]","[0.0761, 0.0031]","[0.1071, 0.0037]","[0.1346, 0.0041]","[0.0428, 0.0023]","[0.2672, 0.0056]",0.01
14,IFVAE,200,1,,,"[0.1581, 0.0037]","[0.092, 0.0032]","[0.0881, 0.0028]","[0.084, 0.0025]","[0.0988, 0.0042]","[0.0708, 0.0018]","[0.0848, 0.0027]","[0.0689, 0.003]","[0.0957, 0.0035]","[0.1201, 0.004]","[0.039, 0.0022]","[0.2377, 0.0054]",0.1
